sample_id,project_id,assembly_id,sample_name,latitude_and_longitude,location,species,data_type,download
CNS0702063,CNP0004049,CNA0059138,GOMC.bin.1600,34.86 S 179.06 E,Pacific Ocean,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2100;g__S139-169;s__S139-169 sp015491055,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702063/
CNS0704038,CNP0004049,CNA0062369,GOMC.bin.3735,20.76 S 176.19 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__UBA3077 sp015487255,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704038/
CNS0710014,CNP0004049,CNA0065340,GOMC.bin.11416,64.82 S 64.04 W,Southern Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__GM7GCV1;g__JABJGI01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710014/
CNS0701618,CNP0004049,CNA0056898,GOMC.bin.1155,22.80 N 46.05 W,Atlantic Ocean,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;g__UBA1565;s__UBA1565 sp002401485,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701618/
CNS0702170,CNP0004049,CNA0059806,GOMC.bin.1707,34.86 S 179.06 E,Pacific Ocean,d__Bacteria;p__Desulfobacterota;c__GWC2-55-46;o__GWC2-55-46;f__DRQE01;g__DRQE01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702170/
CNS0716404,CNP0004049,CNA0054698,GOMC.bin.10855,53.99 N 6.89 E,Atlantic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__VMCP01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0716404/
CNS0704443,CNP0004049,CNA0064578,GOMC.bin.4140,47.57 N 129.59 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__JAADDG01;g__JAADDG01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704443/
CNS0703141,CNP0004049,CNA0057380,GOMC.bin.2838,27.02 N 111.38 W,Pacific Ocean,d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703141/
CNS0702950,CNP0004049,CNA0056632,GOMC.bin.2498,27.04 N 111.25 W,Pacific Ocean,d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702950/
CNS0706579,CNP0004049,CNA0056998,GOMC.bin.7752,18.82 S 147.63 E,Pacific Ocean,d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706579/
CNS0700611,CNP0004049,CNA0055014,GOMC.bin.115,3.80 S 152.10 E,Pacific Ocean,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Caldisphaera;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0700611/
CNS0704324,CNP0004049,CNA0063949,GOMC.bin.4021,9.85 N 104.30 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__OSC116;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704324/
CNS0707841,CNP0004049,CNA0063617,GOMC.bin.9014,36.75 N 122.01 W,Pacific Ocean,d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__SLHB01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707841/
CNS0711779,CNP0004049,CNA0065244,GOMC.bin.13264,53.80 N 128.83 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Maricaulis;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0711779/
CNS0704729,CNP0004049,CNA0056647,GOMC.bin.4426,1.32 N 103.77 E,Indian Ocean,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__Nitrospira_F sp002331625,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704729/
CNS0707433,CNP0004049,CNA0061591,GOMC.bin.8606,9.28 N 79.97 W,Atlantic Ocean,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__SIO2C1;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707433/
CNS0701460,CNP0004049,CNA0056356,GOMC.bin.997,1.76 N 96.77 E,Indian Ocean,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__SOIA01 sp004378665,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701460/
CNS0713913,CNP0004049,CNA0068316,GOMC.bin.15413,68.58 S 77.96 E,Southern Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713913/
CNS0707708,CNP0004049,CNA0063006,GOMC.bin.8881,15.15 N 64.00 E,Indian Ocean,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2686265;s__GCA-2686265 sp002686265,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707708/
CNS0710156,CNP0004049,CNA0065952,GOMC.bin.11558,51.64 N 9.71 W,Atlantic Ocean,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__JAHBNG01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710156/
CNS0707578,CNP0004049,CNA0062357,GOMC.bin.8751,81.57 N 16.36 W,Arctic Ocean,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Gloeobacterales;f__Gloeobacteraceae;g__JACMLN01;s__JACMLN01 sp014379585,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707578/
CNS0708494,CNP0004049,CNA0066499,GOMC.bin.9716,63.43 N 10.43 E,Arctic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708494/
CNS0705048,CNP0004049,CNA0058022,GOMC.bin.4749,37.31 N 122.00 E,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12077;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0705048/
CNS0711126,CNP0004049,CNA0062098,GOMC.bin.12611,55.49 N 15.64 E,Atlantic Ocean,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1;s__CSP1-1 sp001443365,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0711126/
CNS0708880,CNP0004049,CNA0059522,GOMC.bin.10102,35.03 N 146.81 W,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708880/
CNS0703556,CNP0004049,CNA0059581,GOMC.bin.3253,18.21 N 144.71 E,Pacific Ocean,d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA4473;f__UBA4473;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703556/
CNS0703496,CNP0004049,CNA0059193,GOMC.bin.3193,27.01 N 110.60 W,Pacific Ocean,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae_A;g__JdFR-80;s__JdFR-80 sp003648765,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703496/
CNS0701267,CNP0004049,CNA0055823,GOMC.bin.798,21.90 N 93.44 W,Atlantic Ocean,d__Bacteria;p__Desulfobacterota;c__;o__;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701267/
CNS0703916,CNP0004049,CNA0061769,GOMC.bin.3613,37.29 N 32.28 W,Atlantic Ocean,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Aggregatilineaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703916/
CNS0700548,CNP0004049,CNA0054951,GOMC.bin.52,9.84 N 104.29 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__UBA1140;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0700548/
CNS0707804,CNP0004049,CNA0063433,GOMC.bin.8977,55.47 N 15.48 E,Atlantic Ocean,d__Bacteria;p__Desulfobacterota;c__SM23-61;o__SM23-61;f__SM23-61;g__JAHJQK01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707804/
CNS0707625,CNP0004049,CNA0062613,GOMC.bin.8798,15.15 N 64.00 E,Indian Ocean,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__GCA-2746235;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707625/
CNS0707069,CNP0004049,CNA0059387,GOMC.bin.8242,39.61 N 119.35 E,Pacific Ocean,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__GCA-2684655;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707069/
CNS0708990,CNP0004049,CNA0060199,GOMC.bin.10212,16.83 N 71.80 E,Indian Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708990/
CNS0704389,CNP0004049,CNA0064287,GOMC.bin.4086,37.33 N 126.59 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__DSM-19610;f__DSM-19610;g__Thiogranum;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704389/
CNS0701551,CNP0004049,CNA0056635,GOMC.bin.1088,22.78 N 46.09 W,Atlantic Ocean,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__UBA1924;s__UBA1924 sp002401225,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701551/
CNS0713177,CNP0004049,CNA0067580,GOMC.bin.14662,50.05 N 123.82 W,Pacific Ocean,d__Bacteria;p__Desulfobacterota_E;c__MBNT15;o__MBNT15;f__MBNT15;g__CSP1-8;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713177/
CNS0708487,CNP0004049,CNA0066472,GOMC.bin.9709,36.88 N 121.95 W,Pacific Ocean,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__BACL24;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708487/
CNS0702922,CNP0004049,CNA0056548,GOMC.bin.2470,27.04 N 111.25 W,Pacific Ocean,d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__B18-G2;g__B91-G9;s__B91-G9 sp003650935,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702922/
CNS0701970,CNP0004049,CNA0058566,GOMC.bin.1507,36.61 N 122.62 W,Pacific Ocean,d__Bacteria;p__Desulfobacterota;c__WTBG01;o__CAIYCZ01;f__CAIRTM01;g__CAIRTM01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701970/
CNS0709053,CNP0004049,CNA0060598,GOMC.bin.10275,16.83 N 71.98 E,Indian Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SMXP01;f__SMXP01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0709053/
CNS0707383,CNP0004049,CNA0061283,GOMC.bin.8556,31.42 N 81.30 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Kordiimonadaceae;g__Kordiimonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707383/
CNS0704454,CNP0004049,CNA0064634,GOMC.bin.4151,47.57 N 129.59 W,Pacific Ocean,d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__S143-107;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704454/
CNS0703725,CNP0004049,CNA0060610,GOMC.bin.3422,9.78 N 104.28 W,Pacific Ocean,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__B5-G16;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703725/
CNS0703272,CNP0004049,CNA0058007,GOMC.bin.2969,27.01 N 110.59 W,Pacific Ocean,d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZS01;f__QMZS01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703272/
CNS0704429,CNP0004049,CNA0064509,GOMC.bin.4126,47.57 N 129.59 W,Pacific Ocean,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704429/
CNS0701646,CNP0004049,CNA0057011,GOMC.bin.1183,66.31 S 140.43 E,Southern Ocean,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__B3-G11;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701646/
CNS0716175,CNP0004049,CNA0054469,GOMC.bin.7083,35.83 S 136.45 E,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0716175/
CNS0709903,CNP0004049,CNA0064897,GOMC.bin.11303,38.48 N 10.16 E,Atlantic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__SMXJ01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0709903/
CNS0706016,CNP0004049,CNA0063573,GOMC.bin.7088,35.83 S 136.45 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__UBA1172;g__UBA1172;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706016/
CNS0709892,CNP0004049,CNA0064862,GOMC.bin.11292,46.20 N 123.94 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivivens;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0709892/
CNS0712321,CNP0004049,CNA0067105,GOMC.bin.13806,48.58 N 123.50 W,Pacific Ocean,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__JAHJBD01;g__JAHJBD01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712321/
CNS0702616,CNP0004049,CNA0055754,GOMC.bin.2164,18.90 N 155.26 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702616/
CNS0712015,CNP0004049,CNA0066173,GOMC.bin.13500,33.83 S 151.26 E,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Dokdonia;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712015/
CNS0703331,CNP0004049,CNA0058292,GOMC.bin.3028,27.01 N 110.59 W,Pacific Ocean,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703331/
CNS0710278,CNP0004049,CNA0066454,GOMC.bin.11680,79.02 N 9.52 W,Arctic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__CAJQQY01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710278/
CNS0704264,CNP0004049,CNA0063629,GOMC.bin.3961,37.29 N 32.28 W,Atlantic Ocean,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA9337;g__UBA9337;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704264/
CNS0705948,CNP0004049,CNA0063244,GOMC.bin.7000,19.31 S 147.62 E,Pacific Ocean,d__Bacteria;p__Myxococcota_A;c__UBA796;o__UBA796;f__GCA-2862545;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0705948/
