sample_id,project_id,assembly_id,sample_name,latitude_and_longitude,location,species,data_type,download
CNS0715728,CNP0004049,CNA0054022,GOMC.bin.6491,41.16 S 173.86 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__JABDJY01;s__JABDJY01 sp011087645,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0715728/
CNS0714477,CNP0004049,CNA0068880,GOMC.bin.15977,36.75 N 122.01 W,Pacific Ocean,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0714477/
CNS0708422,CNP0004049,CNA0066214,GOMC.bin.9644,34.39 N 119.85 W,Pacific Ocean,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__EX4572-44;g__EX4572-44;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708422/
CNS0708099,CNP0004049,CNA0064888,GOMC.bin.9272,20.75 N 58.66 E,Indian Ocean,d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708099/
CNS0707177,CNP0004049,CNA0060071,GOMC.bin.8350,22.53 N 114.03 E,Indian Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Algibacter_D;s__Algibacter_D aestuarii,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707177/
CNS0715721,CNP0004049,CNA0054015,GOMC.bin.6484,41.08 S 173.95 E,Pacific Ocean,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia_A;o__CAIPTA01;f__JAALKR01;g__JAALKR01;s__JAALKR01 sp011087955,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0715721/
CNS0713865,CNP0004049,CNA0068268,GOMC.bin.15365,68.60 S 78.19 E,Southern Ocean,d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__UBA3076;g__UBA3076;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713865/
CNS0706383,CNP0004049,CNA0065291,GOMC.bin.7556,30.21 N 114.66 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Rhodovibrionaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706383/
CNS0711516,CNP0004049,CNA0064028,GOMC.bin.13001,15.16 S 13.35 W,Atlantic Ocean,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA918;g__OLB19;s__OLB19 sp003245875,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0711516/
CNS0703691,CNP0004049,CNA0060420,GOMC.bin.3388,9.85 N 104.30 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__S145-25;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703691/
CNS0701026,CNP0004049,CNA0055429,GOMC.bin.553,45.93 N 130.01 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701026/
CNS0707192,CNP0004049,CNA0060163,GOMC.bin.8365,22.53 N 114.03 E,Indian Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707192/
CNS0713309,CNP0004049,CNA0067712,GOMC.bin.14794,41.58 N 70.64 W,Atlantic Ocean,d__Bacteria;p__Omnitrophota;c__Koll11;o__JAHIPI01;f__JAHIPI01;g__JAFGFD01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713309/
CNS0709654,CNP0004049,CNA0063699,GOMC.bin.11045,34.39 N 119.85 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0709654/
CNS0711336,CNP0004049,CNA0063119,GOMC.bin.12821,38.05 N 121.88 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0711336/
CNS0700878,CNP0004049,CNA0055281,GOMC.bin.382,47.75 N 127.76 W,Pacific Ocean,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-Q1;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0700878/
CNS0714015,CNP0004049,CNA0068418,GOMC.bin.15515,22.77 N 158.00 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0714015/
CNS0701552,CNP0004049,CNA0056637,GOMC.bin.1089,22.78 N 46.09 W,Atlantic Ocean,d__Bacteria;p__UBP17;c__UBA6191;o__UBA6191;f__UBA6191;g__GCA-2402105;s__GCA-2402105 sp002402105,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701552/
CNS0712342,CNP0004049,CNA0067160,GOMC.bin.13827,48.58 N 123.50 W,Pacific Ocean,d__Bacteria;p__Planctomycetota;c__UBA11346;o__JADGBV01;f__JADGBV01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712342/
CNS0706197,CNP0004049,CNA0064441,GOMC.bin.7317,33.85 S 151.20 E,Pacific Ocean,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706197/
CNS0713776,CNP0004049,CNA0068179,GOMC.bin.15276,68.60 S 78.19 E,Southern Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter_A;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713776/
CNS0706772,CNP0004049,CNA0057818,GOMC.bin.7945,19.93 S 146.52 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__Bin65;g__Bin65;s__Bin65 sp011523655,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706772/
CNS0702720,CNP0004049,CNA0055966,GOMC.bin.2268,32.85 S 177.66 W,Pacific Ocean,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Bin61;f__SMYC01;g__SMYC01;s__SMYC01 sp004356105,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702720/
CNS0708522,CNP0004049,CNA0057615,GOMC.bin.9744,24.55 N 81.41 W,Atlantic Ocean,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__Roseofilum sp002340255,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708522/
CNS0706548,CNP0004049,CNA0056878,GOMC.bin.7721,30.12 N 42.12 W,Atlantic Ocean,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706548/
CNS0708133,CNP0004049,CNA0065025,GOMC.bin.9306,20.75 N 58.66 E,Indian Ocean,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__JAAUSY01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708133/
CNS0707944,CNP0004049,CNA0064154,GOMC.bin.9117,16.13 N 61.77 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707944/
CNS0710841,CNP0004049,CNA0060525,GOMC.bin.12326,0.87 N 97.05 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Parasphingorhabdus;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710841/
CNS0705264,CNP0004049,CNA0059297,GOMC.bin.5027,34.12 S 151.23 E,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0705264/
CNS0701242,CNP0004049,CNA0055774,GOMC.bin.769,18.38 N 81.80 W,Atlantic Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__Sulfurovum sp015661535,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701242/
CNS0701013,CNP0004049,CNA0055416,GOMC.bin.540,45.93 N 129.98 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Hydrogenimonadaceae;g__Hydrogenimonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701013/
CNS0713660,CNP0004049,CNA0068063,GOMC.bin.15160,12.40 S 130.77 E,Indian Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelomonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713660/
CNS0708156,CNP0004049,CNA0065119,GOMC.bin.9329,50.45 N 3.93 E,Atlantic Ocean,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Moorea;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708156/
CNS0713183,CNP0004049,CNA0067586,GOMC.bin.14668,70.66 N 123.00 W,Arctic Ocean,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__M0029;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713183/
CNS0712562,CNP0004049,CNA0065953,GOMC.bin.14047,12.19 N 69.02 W,Atlantic Ocean,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712562/
CNS0713936,CNP0004049,CNA0068339,GOMC.bin.15436,68.56 S 77.90 E,Southern Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Emcibacteraceae;g__UBA4441;s__UBA4441 sp905612225,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713936/
CNS0707956,CNP0004049,CNA0064211,GOMC.bin.9129,54.18 N 7.90 E,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707956/
CNS0704759,CNP0004049,CNA0056750,GOMC.bin.4456,63.43 N 10.43 E,Arctic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA7430;g__UBA6772;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704759/
CNS0708281,CNP0004049,CNA0065607,GOMC.bin.9500,41.91 N 71.57 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708281/
CNS0705071,CNP0004049,CNA0058152,GOMC.bin.4772,37.31 N 122.00 E,Pacific Ocean,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanolacinia;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0705071/
CNS0711142,CNP0004049,CNA0062169,GOMC.bin.12627,34.72 N 76.67 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin95;f__Bin95;g__VMCJ01;s__VMCJ01 sp008081395,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0711142/
CNS0706510,CNP0004049,CNA0056732,GOMC.bin.7683,23.16 N 66.16 E,Indian Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter lipolyticus_B,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706510/
CNS0712798,CNP0004049,CNA0066791,GOMC.bin.14283,10.62 N 65.17 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712798/
CNS0704836,CNP0004049,CNA0057036,GOMC.bin.4533,72.47 N 164.53 W,Arctic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704836/
CNS0702781,CNP0004049,CNA0056132,GOMC.bin.2329,11.34 N 142.33 E,Pacific Ocean,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__SZUA-47;g__SZUA-47;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702781/
CNS0702474,CNP0004049,CNA0061606,GOMC.bin.2022,27.02 N 111.40 W,Pacific Ocean,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__SBBL01;f__JAADHI01;g__DUAG01;s__DUAG01 sp012960925,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702474/
CNS0704205,CNP0004049,CNA0063313,GOMC.bin.3902,9.84 N 104.29 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Thiomicrorhabdus;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704205/
CNS0712858,CNP0004049,CNA0066961,GOMC.bin.14343,10.62 N 65.17 W,Atlantic Ocean,d__Bacteria;p__Planctomycetota;c__B15-G4;o__B15-G4;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712858/
CNS0706187,CNP0004049,CNA0064392,GOMC.bin.7299,33.85 S 151.20 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA7434;g__UBA7434;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706187/
CNS0714212,CNP0004049,CNA0068615,GOMC.bin.15712,10.62 N 65.17 W,Atlantic Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0714212/
CNS0700824,CNP0004049,CNA0055227,GOMC.bin.328,3.73 S 151.67 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0700824/
CNS0703966,CNP0004049,CNA0062015,GOMC.bin.3663,27.01 N 111.41 W,Pacific Ocean,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703966/
CNS0716525,CNP0004049,CNA0054819,GOMC.bin.12194,34.64 N 77.11 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SG8-39;s__SG8-39 sp001303445,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0716525/
CNS0708633,CNP0004049,CNA0058190,GOMC.bin.9855,29.13 N 90.74 W,Atlantic Ocean,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708633/
CNS0709837,CNP0004049,CNA0064602,GOMC.bin.11235,53.99 N 6.89 E,Atlantic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0709837/
CNS0707120,CNP0004049,CNA0059666,GOMC.bin.8293,22.53 N 114.03 E,Indian Ocean,d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZS01;f__QMZS01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707120/
CNS0713000,CNP0004049,CNA0067325,GOMC.bin.14485,29.29 N 92.80 W,Atlantic Ocean,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA2968;f__UBA2968;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713000/
CNS0714439,CNP0004049,CNA0068842,GOMC.bin.15939,36.75 N 122.01 W,Pacific Ocean,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA823;g__UBA11600;s__UBA11600 sp002714165,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0714439/
CNS0711869,CNP0004049,CNA0065583,GOMC.bin.13354,53.80 N 128.83 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA1113;f__UBA1113;g__GCA-2707205;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0711869/
CNS0710639,CNP0004049,CNA0059442,GOMC.bin.12041,36.80 N 121.80 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710639/
CNS0704308,CNP0004049,CNA0063875,GOMC.bin.4005,37.29 N 32.28 W,Atlantic Ocean,d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfatatoraceae;g__Thermodesulfatator_A;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704308/
CNS0716290,CNP0004049,CNA0054584,GOMC.bin.9450,34.39 N 119.85 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__UBA2778;g__UBA2778;s__UBA2778 sp002352385,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0716290/
CNS0710415,CNP0004049,CNA0066947,GOMC.bin.11817,81.02 N 81.58 W,Arctic Ocean,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Rariglobus;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710415/
CNS0705004,CNP0004049,CNA0057789,GOMC.bin.4705,6.37 N 51.40 W,Atlantic Ocean,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0705004/
CNS0714802,CNP0004049,CNA0053096,GOMC.bin.2722,47.56 N 129.06 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-152;f__SZUA-152;g__DRQN01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0714802/
CNS0700632,CNP0004049,CNA0055035,GOMC.bin.136,3.80 S 152.10 E,Pacific Ocean,d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__S143-107;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0700632/
CNS0707165,CNP0004049,CNA0059983,GOMC.bin.8338,22.53 N 114.03 E,Indian Ocean,d__Bacteria;p__WOR-3;c__WOR-3;o__SM23-42;f__SM23-42;g__SM23-42;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707165/
CNS0703791,CNP0004049,CNA0061017,GOMC.bin.3488,27.01 N 111.41 W,Pacific Ocean,d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703791/
CNS0704281,CNP0004049,CNA0063735,GOMC.bin.3978,37.29 N 32.28 W,Atlantic Ocean,d__Bacteria;p__WOR-3;c__Hydrothermia;o__LBFQ01;f__LBFQ01;g__JAADCS01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704281/
CNS0701147,CNP0004049,CNA0055576,GOMC.bin.674,18.37 N 81.80 W,Atlantic Ocean,d__Bacteria;p__Desulfobacterota_C;c__Anaeroferrophillalia;o__Anaeroferrophillales;f__JAADEO01;g__DSCM01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701147/
CNS0707730,CNP0004049,CNA0063099,GOMC.bin.8903,75.00 N 150.00 W,Arctic Ocean,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SLOV01;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707730/
CNS0705612,CNP0004049,CNA0061546,GOMC.bin.5380,34.07 S 151.15 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0705612/
CNS0704980,CNP0004049,CNA0057673,GOMC.bin.4681,17.95 N 67.19 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704980/
CNS0702635,CNP0004049,CNA0055789,GOMC.bin.2183,18.90 N 155.26 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702635/
CNS0703792,CNP0004049,CNA0061023,GOMC.bin.3489,27.01 N 111.41 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703792/
CNS0702034,CNP0004049,CNA0058978,GOMC.bin.1571,48.65 N 126.67 W,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UWMA-0277;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702034/
CNS0715720,CNP0004049,CNA0054014,GOMC.bin.6483,41.08 S 173.95 E,Pacific Ocean,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp014075315,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0715720/
CNS0707644,CNP0004049,CNA0062711,GOMC.bin.8817,15.15 N 64.00 E,Indian Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__GCA-2729495;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0707644/
CNS0700668,CNP0004049,CNA0055071,GOMC.bin.172,3.80 S 152.10 E,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__S010-17;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0700668/
CNS0715819,CNP0004049,CNA0054113,GOMC.bin.6582,32.65 N 16.91 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Glaciecola;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0715819/
CNS0701843,CNP0004049,CNA0057870,GOMC.bin.1380,73.76 N 8.46 E,Arctic Ocean,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalosphaeraceae;g__DRGS01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701843/
CNS0704010,CNP0004049,CNA0062239,GOMC.bin.3707,20.76 S 176.19 W,Pacific Ocean,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA12405;f__JAHJSD01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704010/
CNS0711633,CNP0004049,CNA0064608,GOMC.bin.13118,22.40 N 121.27 E,Indian Ocean,d__Bacteria;p__Actinobacteriota;c__Humimicrobiia;o__Humimicrobiales;f__Humimicrobiaceae;g__M55B120;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0711633/
CNS0704110,CNP0004049,CNA0062728,GOMC.bin.3807,21.99 S 176.57 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__DRMK01;f__DRMK01;g__DRMK01;s__DRMK01 sp015488495,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704110/
CNS0702806,CNP0004049,CNA0056201,GOMC.bin.2354,11.34 N 142.33 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__PZPK01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702806/
CNS0706503,CNP0004049,CNA0056705,GOMC.bin.7676,28.06 N 89.72 W,Atlantic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Ichthyobacteriaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706503/
CNS0715632,CNP0004049,CNA0053926,GOMC.bin.6395,53.74 N 7.70 E,Atlantic Ocean,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__UBA7441;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0715632/
CNS0701701,CNP0004049,CNA0057240,GOMC.bin.1238,73.76 N 8.46 E,Arctic Ocean,d__Bacteria;p__Armatimonadota;c__UBA5377;o__UBA5377;f__JAAYIR01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701701/
